id,name_ka,name_en,created_at,updated_at
1,"ქართული კერძები","Georgian Dishes","2025-08-25 17:48:14","2025-08-25 17:48:14"
2,ხილი,Fruits,"2025-08-25 17:48:14","2025-08-25 17:48:14"
3,ბოსტნეული,Vegetables,"2025-08-25 17:48:14","2025-08-25 17:48:14"
4,"სწრაფი კვება","Fast Food","2025-08-25 17:48:14","2025-08-25 17:48:14"
5,ხორცი,Meat,"2025-08-25 17:48:14","2025-08-25 17:48:14"
6,თევზეული,Seafood,"2025-08-25 17:48:14","2025-08-25 17:48:14"
7,"რძის პროდუქტები","Dairy Products","2025-08-25 17:48:14","2025-08-25 17:48:14"
8,ტკბილეული,Sweets,"2025-08-25 17:48:14","2025-08-25 17:48:14"
9,პური,Bread,"2025-08-25 17:48:14","2025-08-25 17:48:14"
10,სასმელები,Beverages,"2025-08-25 17:48:14","2025-08-25 17:48:14"
